record_id,invoice_id,vendor_name,vendor_gstin,invoice_date,place_of_supply,tax_rate,taxable_value,cgst,sgst,igst,total_tax,invoice_value,supplier_filing_date,gstr2b_period,simulated_current_date
P2B-0016,INV-2603-00054,Dynamo Textiles Private Limited,32MWNUU2669X1ZI,2026-03-19,27-Maharashtra,5,44583.00,0.00,0.00,2229.15,2229.15,46812.15,2026-04-09,2026-03,2026-06-10
P2B-0017,INV-2603-00035,Falcon Chemicals Private Limited,27DDBTQ1492W1ZA,2026-03-09,27-Maharashtra,12,85697.00,5141.82,5141.82,0.00,10283.64,95980.64,2026-04-12,2026-03,2026-06-10
P2B-0018,INV-2603-00055,Orbit Chemicals India Private Limited,06WWDLC2591N1Z0,2026-03-03,27-Maharashtra,5,405649.00,0.00,0.00,20282.45,20282.45,425931.45,2026-04-13,2026-03,2026-06-10
P2B-0019,INV-2603-00008,Wavelength Steel and Company,02CTMNE5571B1Z6,2026-03-04,27-Maharashtra,12,470485.00,0.00,0.00,56458.20,56458.20,526943.20,2026-04-12,2026-03,2026-06-10
P2B-0020,INV-2603-00046,Deccan Solutions India Private Limited,24MMKOP2707A1Z7,2026-03-04,27-Maharashtra,12,84843.00,0.00,0.00,10181.16,10181.16,95024.16,2026-04-13,2026-03,2026-06-10
P2B-0021,INV-2603-00004,Wavelength Chemicals Limited,22JLIUB3888G1ZO,2026-03-29,27-Maharashtra,12,176125.00,0.00,0.00,21135.00,21135.00,197260.00,2026-04-11,2026-03,2026-06-10
P2B-0022,INV-2603-00060,Arcadia Packaging India Private Limited,03RFLNG9701F1ZD,2026-03-29,27-Maharashtra,5,109486.00,0.00,0.00,5474.30,5474.30,114960.30,2026-04-13,2026-03,2026-06-10
P2B-0023,INV-2603-00050,Wavelength Fabricators Private Limited,29NKVKQ5588B1Z9,2026-03-03,27-Maharashtra,28,127922.00,0.00,0.00,35818.16,35818.16,163740.16,2026-04-12,2026-03,2026-06-10
P2B-0024,INV-2603-00040,Dynamo Textiles Private Limited,32MWNUU2669X1ZI,2026-03-11,27-Maharashtra,18,338826.00,0.00,0.00,60988.68,60988.68,399814.68,2026-04-08,2026-03,2026-06-10
P2B-0025,INV-2603-00037,Orbit Chemicals India Private Limited,06WWDLC2591N1Z0,2026-03-07,27-Maharashtra,18,424238.00,0.00,0.00,76362.84,76362.84,500600.84,2026-04-12,2026-03,2026-06-10
P2B-0026,INV-2603-00019,Konark Fabricators and Company,27BBEVF0062J1ZM,2026-03-23,27-Maharashtra,28,10676.00,1494.64,1494.64,0.00,2989.28,13665.28,2026-04-11,2026-03,2026-06-10
P2B-0027,INV-2603-00033,Ganga Enterprises India Private Limited,27ITFXL3590N1ZG,2026-03-04,27-Maharashtra,12,70060.00,4203.60,4203.60,0.00,8407.20,78467.20,2026-04-09,2026-03,2026-06-10
P2B-0028,INV-2603-00006,Konark Industries and Company,37AKHBP5432H1ZS,2026-03-27,27-Maharashtra,5,489765.00,0.00,0.00,24488.25,24488.25,514253.25,2026-04-12,2026-03,2026-06-10
P2B-0029,INV-2603-00001,Ganga Enterprises India Private Limited,27ITFXL3590N1ZG,2026-03-23,27-Maharashtra,5,479071.00,11976.77,11976.78,0.00,23953.55,503024.55,2026-04-12,2026-03,2026-06-10
P2B-0030,INV-2604-00425,Zenith Industries India Private Limited,27NFAOH7689K1ZL,2026-04-15,27-Maharashtra,5,327801.00,8195.02,8195.03,0.00,16390.05,344191.05,2026-04-12,2026-03,2026-06-10
P2B-0031,INV-2603-00056,Konark Industries and Company,37AKHBP5432H1ZS,2026-03-10,27-Maharashtra,12,137831.00,0.00,0.00,16539.72,16539.72,154370.72,2026-04-13,2026-03,2026-06-10
P2B-0032,INV-2603-00045,Ganga Enterprises India Private Limited,27ITFXL3590N1ZG,2026-03-07,27-Maharashtra,28,253765.00,35527.10,35527.10,0.00,71054.20,324819.20,2026-04-13,2026-03,2026-06-10
P2B-0033,INV-2603-00009,Trident Packaging and Company,27AVGFB0339Q1ZZ,2026-03-22,27-Maharashtra,5,71464.00,1786.60,1786.60,0.00,3573.20,75037.20,2026-04-09,2026-03,2026-06-10
P2B-0034,INV-2604-00394,Everest Agro LLP,03KJOEN7911O1Z1,2026-04-04,27-Maharashtra,28,275974.00,0.00,0.00,77272.72,77272.72,353246.72,2026-04-12,2026-03,2026-06-10
P2B-0035,INV-2604-00195,Deccan Enterprises LLP,27ZNNUA5329D1Z8,2026-04-06,27-Maharashtra,28,399353.00,55909.42,55909.42,0.00,111818.84,511171.84,2026-04-09,2026-03,2026-06-10
P2B-0036,INV-2604-00230,Himalaya Polymers LLP,27CBGHX9945C1ZJ,2026-04-24,27-Maharashtra,28,133325.00,18665.50,18665.50,0.00,37331.00,170656.00,2026-04-11,2026-03,2026-06-10
P2B-0037,INV-2604-00431,Zenith Industries India Private Limited,27NFAOH7689K1ZL,2026-04-06,27-Maharashtra,18,348800.00,31392.00,31392.00,0.00,62784.00,411584.00,2026-04-12,2026-03,2026-06-10
P2B-0038,INV-2603-00039,Meridian Logistics India Private Limited,27NNHOE5359S1ZX,2026-03-21,27-Maharashtra,5,314558.00,7863.95,7863.95,0.00,15727.90,330285.90,2026-04-12,2026-03,2026-06-10
P2B-0039,INV-2603-00007,Jyoti Agro LLP,10CLWJW0153B1ZL,2026-03-16,27-Maharashtra,5,102467.00,0.00,0.00,5123.35,5123.35,107590.35,2026-04-11,2026-03,2026-06-10
P2B-0040,INV-2603-00012,Narmada Technologies LLP,08PAPRB6119M1ZV,2026-03-08,27-Maharashtra,12,355902.00,0.00,0.00,42708.24,42708.24,398610.24,2026-04-13,2026-03,2026-06-10
P2B-0041,INV-2603-00059,Arcadia Packaging India Private Limited,03RFLNG9701F1ZD,2026-03-04,27-Maharashtra,18,68809.00,0.00,0.00,12385.62,12385.62,81194.62,2026-04-13,2026-03,2026-06-10
P2B-0042,INV-2603-00042,Crestline Textiles India Private Limited,23EANLL0258A1ZB,2026-03-02,27-Maharashtra,12,485068.00,0.00,0.00,58208.16,58208.16,543276.16,2026-04-09,2026-03,2026-06-10
P2B-0043,INV-2603-00021,Deccan Solutions India Private Limited,24MMKOP2707A1Z7,2026-03-28,27-Maharashtra,12,434483.00,0.00,0.00,52137.96,52137.96,486620.96,2026-04-08,2026-03,2026-06-10
P2B-0044,INV-2604-00068,Elmwood Industries LLP,27HPBHZ2966J1ZI,2026-04-14,27-Maharashtra,28,281975.00,39476.50,39476.50,0.00,78953.00,360928.00,2026-04-12,2026-03,2026-06-10
P2B-0045,INV-2603-00024,Wavelength Solutions LLP,27YIYXG2138V1Z2,2026-03-14,27-Maharashtra,5,333138.00,8328.45,8328.45,0.00,16656.90,349794.90,2026-04-10,2026-03,2026-06-10
P2B-0046,INV-2603-00003,Zenith Industries India Private Limited,27NFAOH7689K1ZL,2026-03-16,27-Maharashtra,5,416178.00,10404.45,10404.45,0.00,20808.90,436986.90,2026-04-10,2026-03,2026-06-10
P2B-0047,INV-2603-00020,Crestline Textiles India Private Limited,23EANLL0258A1ZB,2026-03-09,27-Maharashtra,28,120286.00,0.00,0.00,33680.08,33680.08,153966.08,2026-04-10,2026-03,2026-06-10
P2B-0048,INV-2603-00005,Bharat Textiles Limited,27GFTDT0664D1ZM,2026-03-16,27-Maharashtra,12,332965.00,19977.90,19977.90,0.00,39955.80,372920.80,2026-04-08,2026-03,2026-06-10
P2B-0049,INV-2603-00034,Himalaya Polymers LLP,27CBGHX9945C1ZJ,2026-03-18,27-Maharashtra,18,173154.00,15583.86,15583.86,0.00,31167.72,204321.72,2026-04-10,2026-03,2026-06-10
P2B-0050,INV-2604-00026,Himalaya Polymers LLP,27CBGHX9945C1ZJ,2026-04-23,27-Maharashtra,5,202821.00,5070.52,5070.53,0.00,10141.05,212962.05,2026-04-10,2026-03,2026-06-10
P2B-0051,INV-2603-00029,Wavelength Enterprises LLP,27VGUPQ1274N1ZX,2026-03-30,27-Maharashtra,18,189653.00,17068.77,17068.77,0.00,34137.54,223790.54,2026-04-13,2026-03,2026-06-10
P2B-0052,INV-2603-00048,Bharat Solutions Limited,32EVDGL6232O1ZV,2026-03-30,27-Maharashtra,12,54521.00,0.00,0.00,6542.52,6542.52,61063.52,2026-04-11,2026-03,2026-06-10
P2B-0053,INV-2603-00025,Konark Traders and Company,08STSKE2455Y1ZA,2026-03-13,27-Maharashtra,12,12460.00,0.00,0.00,1495.20,1495.20,13955.20,2026-04-11,2026-03,2026-06-10
P2B-0054,INV-2603-00002,Crestline Traders and Company,10RCYAZ9838E1Z7,2026-03-15,27-Maharashtra,12,489371.00,0.00,0.00,58724.52,58724.52,548095.52,2026-04-08,2026-03,2026-06-10
P2B-0055,INV-2604-00124,Meridian Fabricators and Company,27GFSXR6677W1Z0,2026-04-12,27-Maharashtra,5,384470.00,9611.75,9611.75,0.00,19223.50,403693.50,2026-04-12,2026-03,2026-06-10
P2B-0056,INV-2604-00116,Wavelength Solutions LLP,27YIYXG2138V1Z2,2026-04-28,27-Maharashtra,28,391361.00,54790.54,54790.54,0.00,109581.08,500942.08,2026-04-12,2026-03,2026-06-10
P2B-0057,INV-2603-00038,Falcon Chemicals Private Limited,27DDBTQ1492W1ZA,2026-03-24,27-Maharashtra,5,240531.00,6013.27,6013.28,0.00,12026.55,252557.55,2026-04-13,2026-03,2026-06-10
P2B-0058,INV-2603-00011,Wavelength Chemicals Limited,22JLIUB3888G1ZO,2026-03-08,27-Maharashtra,5,407745.00,0.00,0.00,20387.25,20387.25,428132.25,2026-04-13,2026-03,2026-06-10
P2B-0059,INV-2603-00057,Everest Textiles Limited,32LHGYK3148I1ZP,2026-03-24,27-Maharashtra,28,403752.00,0.00,0.00,113050.56,113050.56,516802.56,2026-04-10,2026-03,2026-06-10
P2B-0060,INV-2603-00015,Arcadia Polymers Limited,33DBDFF6066I1ZB,2026-03-02,27-Maharashtra,5,488429.00,0.00,0.00,24421.45,24421.45,512850.45,2026-04-12,2026-03,2026-06-10
P2B-0061,INV-2603-00051,Konark Traders and Company,08STSKE2455Y1ZA,2026-03-04,27-Maharashtra,18,234817.00,0.00,0.00,42267.06,42267.06,277084.06,2026-04-11,2026-03,2026-06-10
P2B-0062,INV-2603-00027,Meridian Fabricators and Company,27GFSXR6677W1Z0,2026-03-02,27-Maharashtra,12,237364.00,14241.84,14241.84,0.00,28483.68,265847.68,2026-04-09,2026-03,2026-06-10
P2B-0063,INV-2603-00053,Himalaya Polymers LLP,27CBGHX9945C1ZJ,2026-03-03,27-Maharashtra,12,332968.00,19978.08,19978.08,0.00,39956.16,372924.16,2026-04-11,2026-03,2026-06-10
P2B-0064,INV-2603-00016,Yamuna Traders Limited,02LJWUK8178Q1ZJ,2026-03-29,27-Maharashtra,18,319484.00,0.00,0.00,57507.12,57507.12,376991.12,2026-04-12,2026-03,2026-06-10
P2B-0065,INV-2604-00477,Wavelength Steel and Company,02CTMNE5571B1Z6,2026-04-29,27-Maharashtra,28,448538.00,0.00,0.00,125590.64,125590.64,574128.64,2026-04-13,2026-03,2026-06-10
P2B-0066,INV-2603-00049,Himalaya Polymers LLP,27CBGHX9945C1ZJ,2026-03-29,27-Maharashtra,5,394783.00,9869.57,9869.58,0.00,19739.15,414522.15,2026-04-09,2026-03,2026-06-10
P2B-0067,INV-2603-00018,Deccan Solutions India Private Limited,24MMKOP2707A1Z7,2026-03-08,27-Maharashtra,18,412093.00,0.00,0.00,74176.74,74176.74,486269.74,2026-04-13,2026-03,2026-06-10
P2B-0068,INV-2604-00279,Jyoti Agro LLP,10CLWJW0153B1ZL,2026-04-30,27-Maharashtra,12,493736.00,0.00,0.00,59248.32,59248.32,552984.32,2026-04-11,2026-03,2026-06-10
P2B-0069,INV-2603-00036,Konark Traders and Company,08STSKE2455Y1ZA,2026-03-16,27-Maharashtra,18,391486.00,0.00,0.00,70467.48,70467.48,461953.48,2026-04-13,2026-03,2026-06-10
P2B-0070,INV-2603-00023,Crestline Textiles India Private Limited,23EANLL0258A1ZB,2026-03-21,27-Maharashtra,12,438522.00,0.00,0.00,52622.64,52622.64,491144.64,2026-04-09,2026-03,2026-06-10
P2B-0071,INV-2603-00013,Konark Fabricators and Company,27BBEVF0062J1ZM,2026-03-31,27-Maharashtra,12,182368.00,10942.08,10942.08,0.00,21884.16,204252.16,2026-04-08,2026-03,2026-06-10
P2B-0072,INV-2604-00287,Arcadia Packaging India Private Limited,03RFLNG9701F1ZD,2026-04-09,27-Maharashtra,5,489095.00,0.00,0.00,24454.75,24454.75,513549.75,2026-04-09,2026-03,2026-06-10
P2B-0073,INV-2603-00043,Wavelength Enterprises LLP,27VGUPQ1274N1ZX,2026-03-19,27-Maharashtra,28,330770.00,46307.80,46307.80,0.00,92615.60,423385.60,2026-04-12,2026-03,2026-06-10
P2B-0074,INV-2603-00058,Narmada Agro Limited,09RUTFG7986V1ZZ,2026-03-24,27-Maharashtra,12,491156.00,0.00,0.00,58938.72,58938.72,550094.72,2026-04-13,2026-03,2026-06-10
P2B-0075,INV-2604-00319,Konark Traders and Company,08STSKE2455Y1ZA,2026-04-12,27-Maharashtra,18,446971.00,0.00,0.00,80454.78,80454.78,527425.78,2026-04-12,2026-03,2026-06-10
