pr_record_id,gstr2b_record_id,invoice_id,vendor_id,vendor_gstin,case_type,defect_family,match_type,expected_validation_error,expected_classification,expected_outcome,amount_delta,credit_note_amount,in_prior_period_snapshot,vendor_cumulative_itc_variance,expected_drc01c_breach,expected_rule88d_within_window,split,notes
PR-0018,2B-0078,INV-2604-00018,V010,24MMKOP2707A1Z7,indeterminate_ambiguous,ambiguous,fuzzy,,,indeterminate,-5383.62,,false,12535.93,false,true,calibration,"invoice number garbled, date beyond tolerance, non-round amount delta - no rule fires confidently"
PR-0019,2B-0169,INV-2604-00019,V040,10RCYAZ9838E1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,22886.35,false,,calibration,all comparison fields identical
PR-0020,2B-0081,INV-2604-00020,V036,27GFSXR6677W1Z0,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,148917.54,true,,frozen_test,all comparison fields identical
PR-0021,2B-0470,INV-2604-00021,V019,32LHGYK3148I1ZP,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0022,2B-0483,INV-2604-00022,V035,06WWDLC2591N1Z0,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,1400.00,false,,frozen_test,all comparison fields identical
PR-0023,2B-0088,INV-2604-00023,V023,32ZQZIP1711S1ZR,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,4744.52,false,,calibration,all comparison fields identical
PR-0024,2B-0407,INV-2604-00024,V010,24MMKOP2707A1Z7,indeterminate_ambiguous,ambiguous,fuzzy,,,indeterminate,-6001.65,,false,12535.93,false,true,calibration,"invoice number garbled, date beyond tolerance, non-round amount delta - no rule fires confidently"
PR-0025,2B-0187,INV-2604-00025,V009,06ZUWQL5692X1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,54891.06,false,,calibration,all comparison fields identical
PR-0026,,INV-2604-00026,V022,27CBGHX9945C1ZJ,invoice_removed_post_claim,absence,none,,invoice_removed_post_claim,classified_exception,0.00,,true,50272.05,false,true,calibration,"present in prior-period snapshot, absent from current 2B"
PR-0027,2B-0402,INV-2604-00027,V010,24MMKOP2707A1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,12535.93,false,,frozen_test,all comparison fields identical
PR-0028,2B-0238,INV-2604-00028,V002,27NOMNQ8836X1Z2,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,82859.47,true,,frozen_test,all comparison fields identical
PR-0029,2B-0200,INV-2604-00029,V026,27VGUPQ1274N1ZX,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,frozen_test,all comparison fields identical
PR-0030,2B-0376,INV-2604-00030,V033,03KJOEN7911O1Z1,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,124952.52,true,,frozen_test,all comparison fields identical
PR-0031,2B-0142,INV-2604-00031,V040,10RCYAZ9838E1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,22886.35,false,,calibration,all comparison fields identical
PR-0032,2B-0353,INV-2604-00032,V027,27BBEVF0062J1ZM,indeterminate_ambiguous,ambiguous,fuzzy,,,indeterminate,-7335.22,,false,55586.43,false,false,calibration,"invoice number garbled, date beyond tolerance, non-round amount delta - no rule fires confidently"
PR-0033,2B-0273,INV-2604-00033,V009,06ZUWQL5692X1Z7,quarantine_bad_date,invalid_input,quarantined,unparseable_or_implausible_date,,quarantine,0.00,,false,54891.06,false,,calibration,invoice_date '2026-02-31' unparseable or implausible
PR-0034,2B-0163,INV-2604-00034,V030,03RFLNG9701F1ZD,indeterminate_ambiguous,ambiguous,fuzzy,,,indeterminate,-2862.99,,false,164457.37,true,true,calibration,"invoice number garbled, date beyond tolerance, non-round amount delta - no rule fires confidently"
PR-0035,2B-0159,INV-2604-00035,V016,27NNHOE5359S1ZX,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,176.08,false,,calibration,all comparison fields identical
PR-0036,2B-0131,INV-2604-00036,V016,27NNHOE5359S1ZX,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,176.08,false,,calibration,all comparison fields identical
PR-0037,2B-0280,INV-2604-00037,V010,24MMKOP2707A1Z7,fuzzy_amount_rounding,fuzzy,fuzzy,,,auto_reconcile,0.20,,false,12535.93,false,,calibration,taxable_value differs by Rs.0.20 (within Rs.1)
PR-0038,2B-0409,INV-2604-00038,V034,32MWNUU2669X1ZI,fuzzy_amount_rounding,fuzzy,fuzzy,,,auto_reconcile,0.16,,false,0.00,false,,calibration,taxable_value differs by Rs.0.16 (within Rs.1)
PR-0039,2B-0123,INV-2604-00039,V023,32ZQZIP1711S1ZR,credit_note_netting,classification_exception,rule_classified,,credit_note_netting,classified_exception,-2500.00,2500.00,false,4744.52,false,false,calibration,2B net of credit note Rs.2500.00
PR-0040,2B-0036,INV-2604-00040,V005,37AKHBP5432H1ZS,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,220.28,false,,frozen_test,all comparison fields identical
PR-0041,2B-0058,INV-2604-00041,V025,23EANLL0258A1ZB,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0042,2B-0032,INV-2604-00042,V023,32ZQZIP1711S1ZR,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,4744.52,false,,calibration,all comparison fields identical
PR-0043,2B-0454,INV-2604-00043,V034,32MWNUU2669X1ZI,fuzzy_date_tolerance,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,0.00,false,,frozen_test,2B invoice_date shifted by -2 day(s)
PR-0044,2B-0042,INV-2604-00044,V033,03KJOEN7911O1Z1,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,124952.52,true,,calibration,all comparison fields identical
PR-0045,2B-0323,INV-2604-00045,V027,27BBEVF0062J1ZM,fuzzy_ocr_artifact,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,55586.43,false,,calibration,"2B vendor_name OCR-corrupted to 'Konark Fabricat0,rs and C0mpany'"
PR-0046,2B-0002,INV-2604-00046,V018,08STSKE2455Y1ZA,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,115774.46,true,,frozen_test,all comparison fields identical
PR-0047,2B-0302,INV-2604-00047,V026,27VGUPQ1274N1ZX,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,frozen_test,all comparison fields identical
PR-0048,2B-0043,INV-2604-00048,V013,10CLWJW0153B1ZL,fuzzy_ocr_artifact,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,103578.27,true,,calibration,2B vendor_name OCR-corrupted to 'Jy0ti  Agr0 LLP'
PR-0049,2B-0179,INV-2604-00049,V017,27ITFXL3590N1ZG,fuzzy_vendor_name_variant,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,40727.16,false,,calibration,2B vendor_name rendered as 'GANGA ENTERPRISES INDIA PVT. LTD.'
PR-0050,2B-0202,INV-2604-00050,V022,27CBGHX9945C1ZJ,fuzzy_amount_rounding,fuzzy,fuzzy,,,auto_reconcile,-0.65,,false,50272.05,false,,frozen_test,taxable_value differs by Rs.0.65 (within Rs.1)
PR-0051,2B-0360,INV-2604-00051,V037,27DDBTQ1492W1ZA,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,42652.92,false,false,calibration,PR CGST/SGST under state 27; 2B IGST under state 23; total tax equal
PR-0052,2B-0290,INV-2604-00052,V014,01KPAMG7469R1ZE,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0053,2B-0375,INV-2604-00053,V040,10RCYAZ9838E1Z7,fuzzy_ocr_artifact,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,22886.35,false,,calibration,2B vendor_name OCR-corrupted to 'Crest1ine  Traders and C0mpany'
PR-0054,2B-0416,INV-2604-00054,V027,27BBEVF0062J1ZM,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,55586.43,false,,frozen_test,all comparison fields identical
PR-0055,2B-0172,INV-2604-00055,V030,03RFLNG9701F1ZD,quarantine_bad_date,invalid_input,quarantined,unparseable_or_implausible_date,,quarantine,0.00,,false,164457.37,true,,frozen_test,invoice_date '31/04/2026' unparseable or implausible
PR-0056,2B-0422,INV-2604-00056,V040,10RCYAZ9838E1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,22886.35,false,,frozen_test,all comparison fields identical
PR-0057,2B-0026,INV-2604-00057,V001,27HPBHZ2966J1ZI,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,141109.19,true,false,frozen_test,PR CGST/SGST under state 27; 2B IGST under state 08; total tax equal
PR-0058,2B-0423,INV-2604-00058,V012,27WOIJO2003E1Z3,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,47331.39,false,,frozen_test,all comparison fields identical
PR-0059,2B-0193,INV-2604-00059,V021,27YIYXG2138V1Z2,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,111231.08,true,,calibration,all comparison fields identical
PR-0060,2B-0292,INV-2604-00060,V027,27BBEVF0062J1ZM,indeterminate_ambiguous,ambiguous,fuzzy,,,indeterminate,-1827.62,,false,55586.43,false,true,calibration,"invoice number garbled, date beyond tolerance, non-round amount delta - no rule fires confidently"
PR-0061,2B-0027,INV-2604-00061,V014,01KPAMG7469R1ZE,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,frozen_test,all comparison fields identical
PR-0062,2B-0017,INV-2604-00062,V005,37AKHBP5432H1ZS,fuzzy_vendor_name_variant,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,220.28,false,,frozen_test,2B vendor_name rendered as 'KONARK INDUSTRIES & CO.'
PR-0063,2B-0295,INV-2604-00063,V002,27NOMNQ8836X1Z2,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,82859.47,true,false,calibration,PR CGST/SGST under state 27; 2B IGST under state 24; total tax equal
PR-0064,2B-0356,INV-2604-00064,V034,32MWNUU2669X1ZI,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0065,2B-0348,INV-2604-00065,V037,27DDBTQ1492W1ZA,fuzzy_amount_rounding,fuzzy,fuzzy,,,auto_reconcile,0.04,,false,42652.92,false,,frozen_test,taxable_value differs by Rs.0.04 (within Rs.1)
PR-0066,2B-0034,INV-2604-00066,V009,06ZUWQL5692X1Z7,quarantine_missing_field,invalid_input,quarantined,missing_required_field,,quarantine,0.00,,false,54891.06,false,,frozen_test,taxable_value blank
PR-0067,2B-0370,INV-2604-00067,V026,27VGUPQ1274N1ZX,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0068,,INV-2604-00068,V001,27HPBHZ2966J1ZI,invoice_removed_post_claim,absence,none,,invoice_removed_post_claim,classified_exception,0.00,,true,141109.19,true,true,calibration,"present in prior-period snapshot, absent from current 2B"
PR-0069,2B-0045,INV-2604-00069,V037,27DDBTQ1492W1ZA,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,42652.92,false,,calibration,all comparison fields identical
PR-0070,2B-0371,INV-2604-00070,V031,27GFTDT0664D1ZM,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,8396.10,false,,calibration,all comparison fields identical
PR-0071,2B-0062,INV-2604-00071,V003,32EVDGL6232O1ZV,fuzzy_date_tolerance,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,0.00,false,,calibration,2B invoice_date shifted by -1 day(s)
PR-0072,2B-0367,INV-2604-00072,V010,24MMKOP2707A1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,12535.93,false,,calibration,all comparison fields identical
PR-0073,2B-0425,INV-2604-00073,V036,27GFSXR6677W1Z0,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,148917.54,true,,calibration,all comparison fields identical
PR-0074,2B-0218,INV-2604-00074,V035,06WWDLC2591N1Z0,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,1400.00,false,,calibration,all comparison fields identical
PR-0075,2B-0408,INV-2604-00075,V006,27MGAGX0940T1ZV,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,28774.39,false,,calibration,all comparison fields identical
PR-0076,2B-0455,INV-2604-00076,V003,32EVDGL6232O1ZV,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0077,2B-0385,INV-2604-00077,V032,27AVGFB0339Q1ZZ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,1781.30,false,,calibration,all comparison fields identical
PR-0078,2B-0466,INV-2604-00078,V037,27DDBTQ1492W1ZA,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,42652.92,false,,calibration,all comparison fields identical
PR-0079,2B-0293,INV-2604-00079,V020,08PAPRB6119M1ZV,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,804.60,false,,calibration,all comparison fields identical
PR-0080,2B-0234,INV-2604-00080,V036,27GFSXR6677W1Z0,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,148917.54,true,false,frozen_test,PR CGST/SGST under state 27; 2B IGST under state 01; total tax equal
PR-0081,2B-0303,INV-2604-00081,V009,06ZUWQL5692X1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,54891.06,false,,frozen_test,all comparison fields identical
PR-0082,2B-0068,INV-2604-00082,V021,27YIYXG2138V1Z2,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,111231.08,true,,calibration,all comparison fields identical
PR-0083,2B-0460,INV-2604-00083,V015,09RUTFG7986V1ZZ,fuzzy_amount_rounding,fuzzy,fuzzy,,,auto_reconcile,0.47,,false,71790.02,false,,frozen_test,taxable_value differs by Rs.0.47 (within Rs.1)
PR-0084,2B-0311,INV-2604-00084,V015,09RUTFG7986V1ZZ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,71790.02,false,,calibration,all comparison fields identical
PR-0085,2B-0340,INV-2604-00085,V037,27DDBTQ1492W1ZA,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,42652.92,false,,frozen_test,all comparison fields identical
PR-0086,2B-0441,INV-2604-00086,V029,29NKVKQ5588B1Z9,fuzzy_vendor_name_variant,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,1328.86,false,,calibration,2B vendor_name rendered as 'WAVELENGTH FABRICATORS PVT LTD'
PR-0087,2B-0390,INV-2604-00087,V028,21SKPXR4660P1ZJ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,frozen_test,all comparison fields identical
PR-0088,2B-0057,INV-2604-00088,V001,27HPBHZ2966J1ZI,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,141109.19,true,,calibration,all comparison fields identical
PR-0089,2B-0031,INV-2604-00089,V013,10CLWJW0153B1ZL,quarantine_bad_gstin,invalid_input,quarantined,invalid_gstin_format,,quarantine,0.00,,false,103578.27,true,,calibration,gstin truncated to 14 characters
PR-0090,2B-0427,INV-2604-00090,V005,37AKHBP5432H1ZS,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,220.28,false,,calibration,all comparison fields identical
PR-0091,2B-0092,INV-2604-00091,V021,27YIYXG2138V1Z2,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,111231.08,true,true,frozen_test,PR CGST/SGST under state 27; 2B IGST under state 06; total tax equal
PR-0092,2B-0178,INV-2604-00092,V005,37AKHBP5432H1ZS,fuzzy_amount_rounding,fuzzy,fuzzy,,,auto_reconcile,0.75,,false,220.28,false,,calibration,taxable_value differs by Rs.0.75 (within Rs.1)
PR-0093,2B-0239,INV-2604-00093,V029,29NKVKQ5588B1Z9,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,1328.86,false,,frozen_test,all comparison fields identical
PR-0094,2B-0117,INV-2604-00094,V038,02CTMNE5571B1Z6,fuzzy_ocr_artifact,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,125710.64,true,,frozen_test,"2B vendor_name OCR-corrupted to 'Wavelength 5tee1 and Com,pany'"
PR-0095,2B-0480,INV-2604-00095,V007,27NFAOH7689K1ZL,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,79774.05,true,,calibration,all comparison fields identical
PR-0096,2B-0188,INV-2604-00096,V024,24WIIYL3578T1Z9,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0097,2B-0484,INV-2604-00097,V014,01KPAMG7469R1ZE,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0098,2B-0224,INV-2604-00098,V006,27MGAGX0940T1ZV,fuzzy_ocr_artifact,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,28774.39,false,,calibration,"2B vendor_name OCR-corrupted to '8harat Enterprises 1ndia Private L,imited'"
PR-0099,2B-0242,INV-2604-00099,V007,27NFAOH7689K1ZL,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,79774.05,true,true,calibration,PR CGST/SGST under state 27; 2B IGST under state 02; total tax equal
PR-0100,2B-0082,INV-2604-00100,V015,09RUTFG7986V1ZZ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,71790.02,false,,calibration,all comparison fields identical
PR-0101,2B-0256,INV-2604-00101,V013,10CLWJW0153B1ZL,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,103578.27,true,,calibration,all comparison fields identical
PR-0102,2B-0296,INV-2604-00102,V039,02LJWUK8178Q1ZJ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,11338.70,false,,calibration,all comparison fields identical
PR-0103,2B-0174,INV-2604-00103,V015,09RUTFG7986V1ZZ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,71790.02,false,,calibration,all comparison fields identical
PR-0104,2B-0482,INV-2604-00104,V008,33DBDFF6066I1ZB,credit_note_netting,classification_exception,rule_classified,,credit_note_netting,classified_exception,-5000.00,5000.00,false,1025.00,false,false,calibration,2B net of credit note Rs.5000.00
PR-0105,2B-0300,INV-2604-00105,V031,27GFTDT0664D1ZM,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,8396.10,false,,calibration,all comparison fields identical
PR-0106,2B-0449,INV-2604-00106,V019,32LHGYK3148I1ZP,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0107,2B-0232,INV-2604-00107,V014,01KPAMG7469R1ZE,quarantine_bad_date,invalid_input,quarantined,unparseable_or_implausible_date,,quarantine,0.00,,false,0.00,false,,calibration,invoice_date '2026-13-05' unparseable or implausible
PR-0108,2B-0229,INV-2604-00108,V025,23EANLL0258A1ZB,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0109,2B-0090,INV-2604-00109,V022,27CBGHX9945C1ZJ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,50272.05,false,,calibration,all comparison fields identical
PR-0110,2B-0436,INV-2604-00110,V040,10RCYAZ9838E1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,22886.35,false,,calibration,all comparison fields identical
PR-0111,2B-0191,INV-2604-00111,V011,27ZNNUA5329D1Z8,credit_note_netting,classification_exception,rule_classified,,credit_note_netting,classified_exception,-5000.00,5000.00,false,113979.29,true,true,calibration,2B net of credit note Rs.5000.00
PR-0112,2B-0186,INV-2604-00112,V019,32LHGYK3148I1ZP,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0113,2B-0111,INV-2604-00113,V039,02LJWUK8178Q1ZJ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,11338.70,false,,calibration,all comparison fields identical
PR-0114,2B-0136,INV-2604-00114,V010,24MMKOP2707A1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,12535.93,false,,frozen_test,all comparison fields identical
PR-0115,2B-0140,INV-2604-00115,V028,21SKPXR4660P1ZJ,fuzzy_date_tolerance,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,0.00,false,,calibration,2B invoice_date shifted by -2 day(s)
PR-0116,,INV-2604-00116,V021,27YIYXG2138V1Z2,invoice_removed_post_claim,absence,none,,invoice_removed_post_claim,classified_exception,0.00,,true,111231.08,true,true,frozen_test,"present in prior-period snapshot, absent from current 2B"
PR-0117,2B-0459,INV-2604-00117,V022,27CBGHX9945C1ZJ,gstin_header_mismatch,classification_exception,rule_classified,,gstin_header_mismatch,classified_exception,0.00,,false,50272.05,false,false,frozen_test,PR CGST/SGST under state 27; 2B IGST under state 02; total tax equal
PR-0118,2B-0236,INV-2604-00118,V010,24MMKOP2707A1Z7,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,12535.93,false,,calibration,all comparison fields identical
PR-0119,2B-0347,INV-2604-00119,V037,27DDBTQ1492W1ZA,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,42652.92,false,,calibration,all comparison fields identical
PR-0120,2B-0010,INV-2604-00120,V017,27ITFXL3590N1ZG,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,40727.16,false,,calibration,all comparison fields identical
PR-0121,2B-0421,INV-2604-00121,V011,27ZNNUA5329D1Z8,fuzzy_vendor_name_variant,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,113979.29,true,,frozen_test,2B vendor_name rendered as 'Deccan  Ent.  LLP'
PR-0122,2B-0225,INV-2604-00122,V030,03RFLNG9701F1ZD,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,164457.37,true,,frozen_test,all comparison fields identical
PR-0123,2B-0021,INV-2604-00123,V004,22JLIUB3888G1ZO,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,0.00,false,,calibration,all comparison fields identical
PR-0124,,INV-2604-00124,V036,27GFSXR6677W1Z0,invoice_removed_post_claim,absence,none,,invoice_removed_post_claim,classified_exception,0.00,,true,148917.54,true,false,calibration,"present in prior-period snapshot, absent from current 2B"
PR-0125,2B-0336,INV-2604-00125,V039,02LJWUK8178Q1ZJ,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,11338.70,false,,frozen_test,all comparison fields identical
PR-0126,2B-0359,INV-2604-00126,V027,27BBEVF0062J1ZM,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,55586.43,false,,calibration,all comparison fields identical
PR-0127,2B-0233,INV-2604-00127,V035,06WWDLC2591N1Z0,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,1400.00,false,,frozen_test,all comparison fields identical
PR-0128,2B-0019,INV-2604-00128,V005,37AKHBP5432H1ZS,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,220.28,false,,frozen_test,all comparison fields identical
PR-0129,2B-0001,INV-2604-00129,V016,27NNHOE5359S1ZX,fuzzy_vendor_name_variant,fuzzy,fuzzy,,,auto_reconcile,0.00,,false,176.08,false,,frozen_test,2B vendor_name rendered as 'MERIDIAN LOGISTICS INDIA PVT. LTD.'
PR-0130,2B-0214,INV-2604-00130,V038,02CTMNE5571B1Z6,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,125710.64,true,,calibration,all comparison fields identical
PR-0131,2B-0177,INV-2604-00131,V027,27BBEVF0062J1ZM,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,55586.43,false,,calibration,all comparison fields identical
PR-0132,2B-0478,INV-2604-00132,V024,24WIIYL3578T1Z9,quarantine_bad_amount,invalid_input,quarantined,non_numeric_or_negative_amount,,quarantine,0.00,,false,0.00,false,,calibration,taxable_value is 'N/A'
PR-0133,2B-0374,INV-2604-00133,V023,32ZQZIP1711S1ZR,clean_exact_match,clean,exact,,,auto_reconcile,0.00,,false,4744.52,false,,calibration,all comparison fields identical
